type	product	patent
TP	elmer’s® butter slime kit	US10507399
TP	elmer’s® butter slime kit	US10738175
TP	elmer’s® butter slime kit	US10974159
TP	elmer’s® celebration slime kit	US10507399
TP	elmer’s® celebration slime kit	US10738175
TP	elmer’s® celebration slime kit	US10974159
TP	elmer’s® clear school glue	US11053056
TP	elmer’s® clear school glue	USD847658
TP	elmer’s® clear school glue	USD947038
TP	elmer’s® cloud slime kit	US10507399
TP	elmer’s® cloud slime kit	US10738175
TP	elmer’s® cloud slime kit	US10974159
TP	elmer’s® color changing glue	US11053056
TP	elmer’s® color changing glue	USD847658
TP	elmer’s® color changing glue	USD947038
TP	elmer’s® color changing slime kit	US10507399
TP	elmer’s® color changing slime kit	US10738175
TP	elmer’s® color changing slime kit	US10974159
TP	elmer’s® cosmic glue	US11053056
TP	elmer’s® cosmic glue	USD847658
TP	elmer’s® cosmic glue	USD947038
TP	elmer’s® cosmic shimmer gue variety pack	US10507399
TP	elmer’s® cosmic shimmer gue variety pack	US10738175
TP	elmer’s® cosmic shimmer gue variety pack	US10974159
TP	elmer’s® crafting glue sticks	US8871830
TP	elmer’s® crunchy slime kit	US10507399
TP	elmer’s® crunchy slime kit	US10738175
TP	elmer’s® crunchy slime kit	US10974159
TP	elmer’s® fun effects magical liquid	US10507399
TP	elmer’s® fun effects magical liquid	US10738175
TP	elmer’s® fun effects magical liquid	US10974159
TP	elmer’s® glitter glue	US11053056
TP	elmer’s® glitter glue	USD847658
TP	elmer’s® glitter glue	USD947038
TP	elmer’s® glow in the dark glue	US11053056
TP	elmer’s® glow in the dark glue	USD847658
TP	elmer’s® glow in the dark glue	USD947038
TP	elmer’s® glow in the dark slime kit	US10507399
TP	elmer’s® glow in the dark slime kit	US10738175
TP	elmer’s® glow in the dark slime kit	US10974159
TP	elmer’s® glue-all	US11053056
TP	elmer’s® glue-all	USD847658
TP	elmer’s® glue-all	USD947038
TP	elmer’s® gue 4 oz packs	US10507399
TP	elmer’s® gue 4 oz packs	US10738175
TP	elmer’s® gue 4 oz packs	US10974159
TP	elmer’s® gue jars with mix-ins	US10507399
TP	elmer’s® gue jars with mix-ins	US10738175
TP	elmer’s® gue jars with mix-ins	US10974159
TP	elmer’s® gue multipacks with mix-ins	US10507399
TP	elmer’s® gue multipacks with mix-ins	US10738175
TP	elmer’s® gue multipacks with mix-ins	US10974159
TP	elmer’s® gue party pack	US10507399
TP	elmer’s® gue party pack	US10738175
TP	elmer’s® gue party pack	US10974159
TP	elmer’s® hardware glue all	US11053056
TP	elmer’s® hardware glue all	USD947038
TP	elmer’s® individual gue jars	US10507399
TP	elmer’s® individual gue jars	US10738175
TP	elmer’s® individual gue jars	US10974159
TP	elmer’s® magical liquid	US10507399
TP	elmer’s® magical liquid	US10738175
TP	elmer’s® magical liquid	US10974159
TP	elmer’s® metallic glue	US11053056
TP	elmer’s® metallic glue	USD847658
TP	elmer’s® metallic glue	USD947038
TP	elmer’s® pro-bond advanced	US11053056
TP	elmer’s® pro-bond advanced	USD947038
TP	elmer’s® scented magical liquid	US10507399
TP	elmer’s® scented magical liquid	US10738175
TP	elmer’s® scented magical liquid	US10974159
TP	elmer’s® translucent and opaque glue	US11053056
TP	elmer’s® translucent and opaque glue	USD847658
TP	elmer’s® translucent and opaque glue	USD947038
TP	elmer’s® white school glue	US11053056
TP	elmer’s® white school glue	USD847658
TP	elmer’s® white school glue	USD947038
TP	elmer’s® wood glue	US11053056
TP	elmer’s® wood glue	USD947038
